epoch,train_loss,train_dice,val_loss,val_dice,val_iou,val_precision,val_recall,learning_rate
1,0.594961,0.542702,0.369989,0.754685,0.643216,0.727290,0.860517,0.00009999
2,0.214343,0.765833,0.128593,0.807093,0.709431,0.796968,0.876038,0.00009996
3,0.116031,0.817200,0.104660,0.829238,0.742558,0.850947,0.850233,0.00009990
4,0.099976,0.834768,0.100764,0.832491,0.749135,0.892860,0.818482,0.00009983
5,0.091204,0.847645,0.096630,0.837234,0.755681,0.867599,0.849319,0.00009973
6,0.086049,0.854718,0.091471,0.846370,0.768448,0.896845,0.842492,0.00009961
7,0.081014,0.862902,0.092988,0.843118,0.765574,0.906456,0.829106,0.00009947
8,0.077835,0.868175,0.088301,0.851703,0.773819,0.877581,0.857514,0.00009931
9,0.073349,0.875517,0.087259,0.851644,0.775595,0.888400,0.862275,0.00009912
10,0.072866,0.875896,0.087034,0.851957,0.774828,0.882990,0.863545,0.00009892
11,0.070803,0.879132,0.085487,0.854988,0.778401,0.883931,0.866490,0.00009869
12,0.069724,0.881034,0.087644,0.851578,0.777531,0.899759,0.845217,0.00009844
13,0.067958,0.883631,0.089634,0.847707,0.773880,0.908173,0.842015,0.00009818
14,0.066342,0.886367,0.080092,0.864689,0.789741,0.904443,0.863111,0.00009789
15,0.065572,0.887497,0.084182,0.855514,0.782238,0.904414,0.856652,0.00009758
16,0.063252,0.891496,0.082104,0.859153,0.785786,0.893841,0.871510,0.00009725
17,0.062331,0.893227,0.083514,0.857748,0.782697,0.881512,0.878965,0.00009690
18,0.062527,0.892570,0.081931,0.859364,0.785608,0.876916,0.889475,0.00009652
19,0.060984,0.895279,0.080735,0.862253,0.787838,0.861202,0.897222,0.00009613
20,0.060197,0.896385,0.080385,0.862375,0.790729,0.907137,0.868867,0.00009572
21,0.059365,0.898048,0.081009,0.862553,0.789138,0.925535,0.844246,0.00009529
22,0.057978,0.900300,0.074012,0.874412,0.801955,0.897789,0.885793,0.00009484
23,0.057100,0.902169,0.076695,0.869504,0.798545,0.908475,0.869077,0.00009437
24,0.057533,0.901194,0.075607,0.871433,0.798611,0.891379,0.885295,0.00009388
25,0.056893,0.902163,0.081559,0.861173,0.789755,0.901324,0.866019,0.00009337
26,0.055842,0.904247,0.079015,0.865627,0.794198,0.896998,0.877394,0.00009284
27,0.055492,0.904782,0.075830,0.870826,0.799303,0.906361,0.869791,0.00009229
28,0.055341,0.905064,0.075472,0.871413,0.798722,0.901329,0.874470,0.00009173
29,0.054175,0.906774,0.077824,0.867580,0.795480,0.896154,0.873457,0.00009115
30,0.054010,0.907185,0.079044,0.865514,0.792439,0.915119,0.856971,0.00009055
31,0.052498,0.909572,0.075740,0.870581,0.799181,0.898215,0.883978,0.00008993
32,0.051956,0.910704,0.079916,0.862973,0.792047,0.905039,0.871574,0.00008929
33,0.052103,0.910103,0.079775,0.863704,0.792671,0.907149,0.867601,0.00008864
34,0.052079,0.910506,0.079740,0.863820,0.793577,0.917820,0.858813,0.00008797
35,0.051803,0.910789,0.077384,0.868375,0.797093,0.894284,0.876254,0.00008729
36,0.051275,0.911713,0.077669,0.867110,0.796705,0.887888,0.888094,0.00008658
37,0.050870,0.912415,0.074296,0.872679,0.801292,0.912805,0.871545,0.00008587
38,0.049884,0.914134,0.073927,0.874141,0.803326,0.902222,0.881296,0.00008513
39,0.049999,0.914090,0.076437,0.869389,0.798690,0.911864,0.869536,0.00008439
40,0.049205,0.915255,0.074085,0.872878,0.802176,0.904836,0.880415,0.00008362
41,0.048362,0.916650,0.075335,0.871404,0.799946,0.891596,0.885367,0.00008284
42,0.048175,0.917084,0.071017,0.878916,0.807859,0.901278,0.892198,0.00008205
43,0.047318,0.918469,0.077604,0.868166,0.796618,0.904812,0.870977,0.00008125
44,0.048713,0.916045,0.074810,0.872785,0.801338,0.903215,0.879372,0.00008043
45,0.047475,0.918236,0.075885,0.870046,0.799017,0.896847,0.886032,0.00007960
46,0.046420,0.920009,0.074237,0.873489,0.802204,0.909635,0.877522,0.00007875
47,0.047201,0.918796,0.073329,0.874780,0.802285,0.887268,0.898871,0.00007789
48,0.046652,0.919791,0.076150,0.870367,0.799345,0.900327,0.879775,0.00007702
49,0.045782,0.920956,0.075583,0.871573,0.801857,0.895897,0.888103,0.00007614
50,0.045719,0.921523,0.076401,0.870094,0.799665,0.901572,0.882278,0.00007525
51,0.045601,0.921486,0.074718,0.872253,0.802135,0.905048,0.881910,0.00007435
52,0.044047,0.924374,0.078453,0.867257,0.796220,0.904022,0.869256,0.00007343
53,0.045082,0.922170,0.076140,0.871094,0.801411,0.911020,0.871868,0.00007251
54,0.044456,0.923360,0.075721,0.871677,0.801235,0.904772,0.875634,0.00007158
55,0.043151,0.925783,0.075560,0.871795,0.802601,0.893081,0.888146,0.00007063
56,0.043096,0.925814,0.077210,0.868963,0.799353,0.911276,0.874379,0.00006968
57,0.043503,0.925394,0.077018,0.868946,0.800388,0.903066,0.877892,0.00006872
58,0.043213,0.925476,0.075716,0.871748,0.801018,0.892813,0.888638,0.00006775
59,0.042690,0.926532,0.075250,0.871177,0.801064,0.899648,0.889453,0.00006678
60,0.043153,0.925769,0.073158,0.875630,0.805420,0.885679,0.896080,0.00006580
61,0.042544,0.926741,0.074608,0.873137,0.802137,0.903590,0.877993,0.00006481
62,0.042278,0.927181,0.078858,0.865259,0.796069,0.902891,0.877026,0.00006381
