epoch,train_sec,val_sec,total_sec,train_min,val_min,total_min
1,77.69,5.44,83.13,1.29,0.09,1.39
2,76.17,5.38,81.55,1.27,0.09,1.36
3,76.45,5.52,81.97,1.27,0.09,1.37
4,76.56,5.34,81.91,1.28,0.09,1.37
5,76.50,5.28,81.78,1.27,0.09,1.36
6,75.63,5.34,80.98,1.26,0.09,1.35
7,75.69,5.32,81.01,1.26,0.09,1.35
8,75.53,5.33,80.86,1.26,0.09,1.35
9,77.20,5.33,82.52,1.29,0.09,1.38
10,80.71,5.80,86.51,1.35,0.10,1.44
11,78.41,5.29,83.71,1.31,0.09,1.40
12,76.84,5.36,82.20,1.28,0.09,1.37
13,75.68,5.41,81.09,1.26,0.09,1.35
14,76.05,5.33,81.38,1.27,0.09,1.36
15,76.19,5.34,81.53,1.27,0.09,1.36
16,75.84,5.46,81.31,1.26,0.09,1.36
17,76.40,5.34,81.74,1.27,0.09,1.36
18,76.12,5.36,81.48,1.27,0.09,1.36
19,76.49,5.33,81.82,1.27,0.09,1.36
20,80.06,5.74,85.81,1.33,0.10,1.43
21,76.39,5.33,81.73,1.27,0.09,1.36
22,76.23,5.32,81.55,1.27,0.09,1.36
23,75.94,5.34,81.28,1.27,0.09,1.35
24,75.72,5.38,81.10,1.26,0.09,1.35
25,75.65,5.32,80.97,1.26,0.09,1.35
26,75.90,5.32,81.22,1.26,0.09,1.35
27,76.02,5.32,81.34,1.27,0.09,1.36
28,75.79,5.35,81.14,1.26,0.09,1.35
29,75.02,5.44,80.46,1.25,0.09,1.34
30,76.25,5.35,81.60,1.27,0.09,1.36
31,75.31,5.37,80.68,1.26,0.09,1.34
32,75.68,5.46,81.14,1.26,0.09,1.35
33,75.98,5.33,81.31,1.27,0.09,1.36
34,76.55,5.38,81.93,1.28,0.09,1.37
35,76.93,5.54,82.47,1.28,0.09,1.37
36,76.12,5.61,81.73,1.27,0.09,1.36
37,76.29,5.51,81.80,1.27,0.09,1.36
38,75.91,5.33,81.24,1.27,0.09,1.35
39,76.51,5.41,81.92,1.28,0.09,1.37
40,75.57,5.31,80.89,1.26,0.09,1.35
41,75.57,5.35,80.92,1.26,0.09,1.35
42,76.24,5.35,81.59,1.27,0.09,1.36
43,76.02,5.41,81.44,1.27,0.09,1.36
44,76.09,5.33,81.42,1.27,0.09,1.36
45,76.25,5.46,81.71,1.27,0.09,1.36
46,75.89,5.30,81.18,1.26,0.09,1.35
47,75.45,5.48,80.93,1.26,0.09,1.35
48,75.88,5.46,81.34,1.26,0.09,1.36
49,77.03,5.31,82.33,1.28,0.09,1.37
50,75.96,5.41,81.37,1.27,0.09,1.36
51,75.57,5.40,80.97,1.26,0.09,1.35
52,75.37,5.43,80.80,1.26,0.09,1.35
53,75.18,5.30,80.48,1.25,0.09,1.34
54,75.89,5.44,81.33,1.26,0.09,1.36
55,76.27,5.54,81.81,1.27,0.09,1.36
56,76.93,5.38,82.32,1.28,0.09,1.37
57,76.43,5.40,81.82,1.27,0.09,1.36
58,76.79,5.38,82.17,1.28,0.09,1.37
59,76.37,5.31,81.68,1.27,0.09,1.36
60,75.85,5.33,81.18,1.26,0.09,1.35
61,76.39,5.39,81.78,1.27,0.09,1.36
62,76.21,5.42,81.63,1.27,0.09,1.36
